left,right,x,y,z
0,700,0.460815,0.206299,-10.186768
1,700,0.399780,0.201416,-10.236206
2,700,0.524902,0.183105,-10.116577
3,700,0.449829,0.178223,-10.040894
4,700,-0.574341,-0.925293,-10.267334
5,700,1.333618,0.158081,-10.227661
6,700,-1.990356,-0.562134,-9.937134
7,700,-0.336304,0.266113,-10.184937
8,700,0.036621,-1.069336,-9.381714
9,700,1.578979,0.177002,-10.031738
10,700,-0.774536,0.116577,-9.907837
11,700,1.702271,0.223389,-10.047607
12,700,1.322021,0.137939,-10.066528
13,700,0.233154,-0.115356,-10.073853
14,700,0.482788,-0.125732,-10.191650
15,700,0.534668,-0.140381,-10.320435
16,700,0.458984,-0.182495,-10.239258
17,700,0.504761,-0.208130,-10.316162
18,700,0.444336,-0.177002,-10.171509
19,700,0.499878,-0.192871,-10.285645
20,700,0.393677,-0.097046,-10.177002
21,700,0.497437,-0.142212,-10.147705
22,700,0.419922,-0.209961,-10.252686
23,700,0.494995,-0.160522,-10.195312
24,700,0.614624,-0.207520,-10.605469
25,700,0.604858,-0.274658,-10.445557
26,700,0.469360,-0.175781,-10.311279
27,700,0.553589,-0.166016,-10.235596
28,700,0.304565,-0.191650,-9.918823
29,700,0.523071,-0.186157,-10.241699
30,700,0.424805,-0.171509,-10.006104
31,700,0.491943,-0.150757,-10.097656
32,700,0.462036,-0.171509,-10.111084
33,700,0.468750,-0.108643,-10.131226
34,700,0.525513,-0.165405,-10.265503
35,700,0.512695,-0.145874,-10.281982
36,700,0.477295,-0.183716,-10.203247
37,700,0.451050,-0.199585,-10.288696
38,700,0.435181,-0.123901,-10.239868
39,700,0.526733,-0.122070,-10.304565
40,700,0.432739,-0.186768,-10.169678
41,700,0.434570,-0.168457,-10.043945
42,700,0.440063,-0.167847,-10.199585
43,700,0.403442,-0.169067,-10.117798
44,700,0.576782,-0.168457,-10.545654
45,700,0.636597,-0.150146,-10.476685
46,700,0.462646,-0.156860,-10.297241
47,700,0.580444,-0.176392,-10.183716
48,700,0.386963,-0.173950,-9.891357
49,700,0.502930,-0.187988,-10.189209
50,700,0.473022,-0.156250,-10.004272
51,700,0.424805,-0.169067,-10.169678
52,700,0.474243,-0.174561,-10.187378
53,700,0.469360,-0.137329,-10.241089
54,700,0.516357,-0.137939,-10.324707
55,700,0.485840,-0.176392,-10.299072
56,700,0.465088,-0.212402,-10.244751
57,700,0.474243,-0.217285,-10.294800
58,700,0.498657,-0.143433,-10.130615
59,700,0.485840,-0.154419,-10.294189
60,700,0.454712,-0.133667,-10.230103
61,700,0.457153,-0.161133,-10.147705
62,700,0.437622,-0.163574,-10.177612
63,700,0.392456,-0.122681,-10.017700
64,700,0.491333,-0.197144,-10.397339
65,700,0.557861,-0.140381,-10.278931
66,700,0.468140,-0.144653,-10.220947
67,700,0.568237,-0.200195,-10.124512
68,700,0.387573,-0.144043,-10.031128
69,700,0.447998,-0.172119,-10.150757
70,700,0.503540,-0.171509,-10.170288
71,700,0.459595,-0.202637,-10.353394
72,700,0.540161,-0.159912,-10.297852
73,700,0.465088,-0.156250,-10.328979
74,700,0.491333,-0.161743,-10.275269
75,700,0.508423,-0.148926,-10.194092
76,700,0.436401,-0.144653,-10.185547
77,700,0.482178,-0.162354,-10.227051
78,700,0.454102,-0.204468,-10.157471
79,700,0.563965,-0.181274,-10.285034
80,700,0.534668,-0.112305,-10.268555
81,700,0.463257,-0.191650,-10.354004
82,700,0.515747,-0.131226,-10.153198
83,700,0.391235,-0.180664,-9.968262
84,700,0.463867,-0.173950,-10.101318
85,700,0.480957,-0.187378,-10.156250
86,700,0.498047,-0.116577,-10.135498
87,700,0.571899,-0.144653,-10.089722
88,700,0.418091,-0.147095,-10.232544
89,700,0.452271,-0.157471,-10.150757
90,700,0.528564,-0.216675,-10.319824
91,700,0.479126,-0.180054,-10.425415
92,700,0.562744,-0.203857,-10.296631
93,700,0.389404,-0.118408,-10.260010
94,700,0.512695,-0.125122,-10.254517
95,700,0.456543,-0.157471,-10.185547
96,700,0.464478,-0.185547,-10.168457
97,700,0.477295,-0.197144,-10.147095
98,700,0.463257,-0.145874,-10.190430
99,700,0.482178,-0.133667,-10.177612
100,700,0.526123,-0.154419,-10.299072
101,700,0.429077,-0.172119,-10.316162
102,700,0.520020,-0.183105,-10.222168
103,700,0.393677,-0.175171,-10.090942
104,700,0.288086,-0.181885,-9.807739
105,700,0.434570,-0.145874,-10.086670
106,700,0.394287,-0.144653,-10.110474
107,700,0.483398,-0.144653,-10.347900
108,700,0.512085,-0.150146,-10.436401
109,700,0.488281,-0.175171,-10.178833
110,700,0.512695,-0.201416,-10.262451
111,700,0.425415,-0.154419,-10.088501
112,700,0.531006,-0.148926,-10.119019
113,700,0.446777,-0.204468,-10.120239
114,700,0.468140,-0.189819,-10.194092
115,700,0.426636,-0.178223,-10.202026
116,700,0.511475,-0.195312,-10.275879
117,700,0.480957,-0.149536,-10.298462
118,700,0.532837,-0.195923,-10.233765
119,700,0.420532,-0.172119,-10.141602
120,700,0.437012,-0.180664,-10.075073
121,700,0.426636,-0.178833,-10.191650
122,700,0.438232,-0.145264,-10.065308
123,700,0.577393,-0.206299,-10.440674
124,700,0.620117,-0.196533,-10.352173
125,700,0.498047,-0.173950,-10.252075
126,700,0.625610,-0.206909,-10.131226
127,700,0.476074,-0.162354,-10.048828
128,700,0.493774,-0.146484,-10.099487
129,700,0.498657,-0.153198,-10.322876
130,700,0.441284,-0.214233,-10.321045
131,700,0.513306,-0.201416,-10.339355
132,700,0.393677,-0.164795,-10.168457
133,700,0.531006,-0.166626,-10.118408
134,700,0.434570,-0.125122,-10.126343
135,700,0.525513,-0.220947,-10.183716
136,700,0.360718,-0.178833,-10.168457
137,700,0.565796,-0.177612,-10.200195
138,700,0.350342,-0.152588,-10.035400
139,700,0.596313,-0.111694,-10.351562
140,700,0.389404,-0.184326,-10.133667
141,700,0.528564,-0.192871,-10.350342
142,700,0.479736,-0.158691,-10.261230
143,700,0.465088,-0.191040,-10.253906
144,700,0.372925,-0.129395,-10.253296
145,700,0.454102,-0.158691,-10.265503
146,700,0.326538,-0.154419,-10.025024
147,700,0.496826,-0.140381,-10.275879
148,700,0.415649,-0.139160,-10.016479
149,700,0.451050,-0.175781,-10.080566
150,700,0.505371,-0.141602,-10.059204
151,700,0.486450,-0.120850,-10.219727
152,700,0.483398,-0.150757,-10.255737
153,700,0.519409,-0.156860,-10.326538
154,700,0.465088,-0.212402,-10.276489
155,700,0.496216,-0.202637,-10.317993
156,700,0.424194,-0.093384,-10.150757
157,700,0.464478,-0.199585,-10.294800
158,700,0.568237,-0.181274,-10.227051
159,700,0.442505,-0.213623,-10.226440
160,700,0.496216,-0.213623,-10.191040
161,700,0.366821,-0.150757,-9.963989
