left,right,x,y,z,,,dy
400,500,0.521851,0.099487,-10.172729,max,615,#VALUE!
397,503,0.502319,0,-10.266724,min,396,-0.099487
396,504,0.498047,-0.001221,-10.201416,avg,574.324596774194,-0.001221
396,504,0.420532,0.015259,-10.214233,,,0.01648
396,504,0.537109,-0.097656,-10.29541,,,-0.112915
399,501,0.34729,-0.078735,-10.234375,,,0.018921
401,499,0.514526,-0.056763,-10.338135,,,0.021972
403,497,0.386353,-0.15564,-10.172729,,,-0.098877
407,493,0.332642,-0.050049,-9.914551,,,0.105591
409,491,0.335083,-0.197144,-10.257568,,,-0.147095
414,486,0.379028,-0.13855,-10.341187,,,0.058594
418,482,0.429688,-0.03479,-10.339966,,,0.10376
420,480,0.411987,-0.128784,-10.180054,,,-0.093994
423,477,0.497437,-0.023193,-9.942017,,,0.105591
424,476,0.370483,-0.136719,-10.055542,,,-0.113526
428,472,0.505981,-0.078125,-10.189819,,,0.058594
430,470,0.396118,-0.065918,-10.22583,,,0.012207
432,468,0.480347,-0.141602,-10.284424,,,-0.075684
436,464,0.350342,-0.032959,-10.15564,,,0.108643
438,462,0.453491,-0.111084,-10.082397,,,-0.078125
441,459,0.346069,-0.085449,-10.089111,,,0.025635
444,456,0.45166,0.004272,-10.058594,,,0.089721
445,455,0.34729,-0.118408,-10.176392,,,-0.12268
448,452,0.562134,-0.015869,-10.41687,,,0.102539
449,451,0.59021,-0.059204,-10.492554,,,-0.043335
451,449,0.548096,-0.042725,-10.239868,,,0.016479
453,447,0.571289,0.023804,-10.137329,,,0.066529
453,447,0.550537,-0.130615,-10.175171,,,-0.154419
457,443,0.48584,-0.124512,-10.339355,,,0.006103
460,440,0.534058,-0.117798,-10.419922,,,0.006714
463,437,0.490723,-0.198975,-10.403442,,,-0.081177
468,432,0.46875,-0.041504,-10.289917,,,0.157471
470,430,0.465088,-0.109863,-10.231934,,,-0.068359
473,427,0.487671,-0.151367,-10.13916,,,-0.041504
477,423,0.46875,-0.076294,-10.220947,,,0.075073
479,421,0.567627,-0.189209,-10.323486,,,-0.112915
484,416,0.452881,-0.079346,-10.234375,,,0.109863
486,414,0.517578,-0.091553,-10.397339,,,-0.012207
