left,right,x,y,z
600,700,0.469971,0.149536,-10.214844
590,700,0.501709,0.142212,-10.185547
579,700,0.465088,0.175781,-10.224609
563,700,0.486450,0.129395,-10.143433
548,700,0.512085,0.129395,-10.209961
532,700,0.499268,0.161743,-10.242310
512,700,0.448608,0.173950,-10.289917
490,700,0.450439,0.132446,-10.187988
469,700,0.480957,0.169067,-10.219116
445,700,0.446167,0.177612,-10.209351
419,700,0.526123,0.169678,-10.160522
392,700,0.496216,0.115967,-10.210571
368,700,0.502319,0.173950,-10.170898
340,700,0.474243,0.163574,-10.241699
311,700,0.443726,0.184326,-10.239868
280,700,0.437622,0.162354,-10.200806
250,700,0.487061,0.151978,-10.238647
220,700,0.478516,0.209961,-10.172729
185,700,0.418701,0.180054,-10.178833
151,700,0.511475,0.148315,-10.205078
119,700,0.473633,0.159302,-10.134277
86,700,-0.460205,-0.729980,-10.003662
115,700,0.349121,0.173950,-10.074463
96,700,-0.211792,-1.120605,-9.635010
166,700,1.551514,0.267334,-10.175781
160,700,0.437012,0.287476,-10.177002
147,700,-1.806030,-0.773926,-9.822998
203,700,0.076904,-0.369873,-10.200195
245,700,0.488281,-0.183105,-10.194702
279,700,0.484619,-0.209351,-10.213013
317,700,0.498657,-0.172729,-10.217285
354,700,0.442505,-0.147705,-10.176392
390,700,0.451050,-0.151978,-10.247192
427,700,0.488281,-0.166016,-10.164185
466,700,0.487061,-0.177002,-10.251465
506,700,0.491943,-0.139771,-10.239258
545,700,0.480957,-0.162964,-10.162964
585,700,0.467529,-0.184937,-10.220337
627,700,0.496216,-0.167236,-10.227051
669,700,0.478516,-0.172119,-10.227661
712,700,0.466309,-0.142822,-10.238647
753,700,0.458984,-0.153198,-10.249023
795,700,0.495605,-0.172729,-10.203247
838,700,0.513916,-0.201416,-10.175171
884,700,0.522461,-0.214844,-10.239868
932,700,0.422974,-0.072021,-10.166016
971,700,-0.869141,0.884399,-9.432983
941,700,1.707153,-0.085449,-10.125732
960,700,0.146484,-0.108032,-10.206909
982,700,-1.894531,0.946655,-9.282837
931,700,0.158081,-0.131836,-10.247803
937,700,0.496826,-0.008545,-10.369263
938,700,0.521851,0.096436,-10.355225
932,700,0.386963,0.191040,-10.244751
918,700,0.545654,0.148315,-10.175781
904,700,0.524292,0.175781,-10.158081
