left,right,x,y,z
400,500,0,0.521851,0.099487,-10.172729
397,503,0,0.502319,0.000000,-10.266724
396,504,0,0.498047,-0.001221,-10.201416
396,504,0,0.420532,0.015259,-10.214233
396,504,0,0.537109,-0.097656,-10.295410
399,501,0,0.347290,-0.078735,-10.234375
401,499,0,0.514526,-0.056763,-10.338135
403,497,0,0.386353,-0.155640,-10.172729
407,493,0,0.332642,-0.050049,-9.914551
409,491,0,0.335083,-0.197144,-10.257568
414,486,0,0.379028,-0.138550,-10.341187
418,482,0,0.429688,-0.034790,-10.339966
420,480,0,0.411987,-0.128784,-10.180054
423,477,0,0.497437,-0.023193,-9.942017
424,476,0,0.370483,-0.136719,-10.055542
428,472,0,0.505981,-0.078125,-10.189819
430,470,0,0.396118,-0.065918,-10.225830
432,468,0,0.480347,-0.141602,-10.284424
436,464,0,0.350342,-0.032959,-10.155640
438,462,0,0.453491,-0.111084,-10.082397
441,459,0,0.346069,-0.085449,-10.089111
444,456,0,0.451660,0.004272,-10.058594
445,455,0,0.347290,-0.118408,-10.176392
448,452,0,0.562134,-0.015869,-10.416870
449,451,0,0.590210,-0.059204,-10.492554
451,449,0,0.548096,-0.042725,-10.239868
453,447,0,0.571289,0.023804,-10.137329
453,447,0,0.550537,-0.130615,-10.175171
457,443,0,0.485840,-0.124512,-10.339355
460,440,0,0.534058,-0.117798,-10.419922
463,437,0,0.490723,-0.198975,-10.403442
468,432,0,0.468750,-0.041504,-10.289917
470,430,0,0.465088,-0.109863,-10.231934
473,427,0,0.487671,-0.151367,-10.139160
477,423,0,0.468750,-0.076294,-10.220947
479,421,0,0.567627,-0.189209,-10.323486
484,416,0,0.452881,-0.079346,-10.234375
486,414,0,0.517578,-0.091553,-10.397339
489,411,0,0.366211,-0.098267,-10.040283
492,408,1,0.314941,-0.075073,-9.924927
494,406,1,0.273438,-0.170898,-10.054321
498,402,1,0.338745,-0.062866,-10.215454
500,400,1,0.384521,-0.089722,-10.277710
503,397,1,0.401001,-0.157471,-10.227661
507,393,1,0.471802,0.022583,-9.984131
507,393,1,0.395508,-0.083008,-10.057373
510,390,1,0.462646,-0.078735,-10.098267
512,388,1,0.374756,-0.019531,-10.139160
513,387,1,0.419312,-0.138550,-10.131836
517,383,1,0.380859,-0.008545,-10.167847
518,382,1,0.379639,-0.073853,-10.101929
520,380,1,0.381470,-0.048218,-10.159912
522,378,1,0.421143,-0.037231,-10.136108
524,376,1,0.401611,-0.116577,-10.214233
527,373,1,0.612793,-0.053711,-10.426025
529,371,1,0.565796,-0.103149,-10.523071
532,368,1,0.584106,-0.071411,-10.354004
534,366,1,0.567017,-0.043945,-10.171509
536,364,1,0.495605,-0.119629,-10.114746
539,361,1,0.433350,-0.106201,-10.251465
542,358,1,0.541382,-0.094604,-10.384521
545,355,1,0.457764,-0.195923,-10.343018
550,350,1,0.499268,-0.060425,-10.200195
552,348,1,0.429688,-0.091553,-10.263672
555,345,1,0.424805,-0.130615,-10.162354
559,341,1,0.435181,-0.109253,-10.173950
562,338,1,0.515747,-0.195312,-10.308838
567,333,1,0.497437,-0.026245,-10.230713
568,332,1,0.521240,-0.136719,-10.435181
572,328,1,0.376587,-0.077515,-10.090942
574,326,1,0.376587,-0.037842,-9.904785
576,324,1,0.299072,-0.133057,-10.027466
580,320,1,0.303345,-0.067139,-10.187988
582,318,1,0.371704,-0.035400,-10.236206
584,316,1,0.371704,-0.114746,-10.245972
587,313,1,0.418701,0.001831,-9.964600
588,312,1,0.379028,-0.018921,-10.048828
589,311,1,0.504761,-0.057983,-10.087891
591,309,1,0.380249,-0.020142,-10.116577
592,308,2,0.404663,-0.031128,-10.197754
594,306,2,0.357056,0.039062,-10.119019
594,306,2,0.415649,-0.042725,-10.136108
596,304,2,0.408325,-0.040894,-10.225220
598,302,2,0.437622,0.048828,-10.092773
597,303,2,0.401001,-0.091553,-10.123901
600,300,2,0.578003,-0.009766,-10.391846
601,299,2,0.568237,-0.017090,-10.533447
602,298,2,0.590820,-0.075684,-10.342407
604,296,2,0.565796,0.054932,-10.204468
603,297,2,0.521240,-0.047607,-10.122681
605,295,2,0.471191,-0.054932,-10.186768
607,293,2,0.534668,0.016479,-10.392456
608,292,2,0.451050,-0.090942,-10.372314
611,289,2,0.519409,0.029297,-10.372314
611,289,2,0.446777,-0.017700,-10.220337
612,288,2,0.451660,-0.016479,-10.198364
613,287,2,0.470581,0.030518,-10.227661
613,287,2,0.527954,-0.038452,-10.304565
615,285,2,0.407715,0.027466,-10.167847
615,285,2,0.487671,0.068970,-10.217896
613,287,2,0.393066,-0.043335,-10.065308
