left,right,x,y,z
500,700,0.401001,0.209351,-10.259399
684,700,0.491943,0.147095,-10.187378
617,700,0.490723,0.146484,-10.150146
611,700,0.451660,0.170288,-10.221558
629,700,0.442505,0.206299,-10.143433
658,700,0.551758,0.194092,-10.251465
638,700,0.474854,0.195923,-10.245361
632,700,0.520020,0.151367,-10.219727
580,700,0.541382,0.169067,-10.208740
589,700,0.520630,0.128784,-10.229492
541,700,0.484009,0.161743,-10.246582
566,700,0.495605,0.120239,-10.214233
517,700,0.455322,0.156250,-10.172119
545,700,0.446777,0.152588,-10.195923
533,700,0.456543,0.159912,-10.177002
531,700,0.457153,0.109253,-10.228271
473,700,0.608521,0.165405,-10.125732
520,700,0.459595,0.148315,-10.202637
494,700,0.509644,0.175171,-10.292358
511,700,0.459595,0.166626,-10.224609
493,700,0.489502,0.165405,-10.205688
482,700,0.471191,0.194702,-10.169067
501,700,0.480957,0.155029,-10.276489
452,700,0.449829,0.164795,-10.177612
452,700,0.503540,0.191650,-10.195923
468,700,0.496216,0.186768,-10.219116
452,700,0.524292,0.136108,-10.147095
392,700,0.478516,0.147095,-10.198364
393,700,0.462646,0.134888,-10.200195
371,700,0.517578,0.183716,-10.295410
409,700,0.482178,0.122681,-10.217896
339,700,0.462646,0.183716,-10.206299
389,700,0.465698,0.144653,-10.173340
340,700,0.457153,0.140991,-10.175781
327,700,0.416260,0.142212,-10.231934
319,700,0.445557,0.191040,-10.166626
357,700,0.463257,0.164795,-10.252686
321,700,0.441284,0.169067,-10.174561
315,700,0.441895,0.147705,-10.206909
284,700,0.508423,0.149536,-10.161743
276,700,0.465698,0.100708,-10.205688
219,700,0.490112,0.078125,-10.220337
189,700,0.507202,0.174561,-10.118408
276,700,4.669800,0.269165,-14.269409
358,700,0.339966,0.151978,-10.179443
231,700,-1.068115,-0.575562,-9.730835
0,700,-1.340942,-1.034546,-9.442749
3,700,1.268311,-0.515137,-10.961914
8,700,0.761108,0.138550,-10.338745
442,700,0.374756,-0.217896,-10.223999
90,700,0.416260,-0.151367,-10.178223
160,700,0.488892,-0.129395,-10.217896
186,700,0.534058,-0.149536,-10.194092
171,700,0.460205,-0.100708,-10.134277
224,700,0.453491,-0.181274,-10.212402
150,700,0.461426,-0.180054,-10.239868
159,700,0.476685,-0.172729,-10.274658
174,700,0.499878,-0.156250,-10.188599
199,700,0.484619,-0.144043,-10.195312
219,700,0.442505,-0.187988,-10.213013
185,700,0.458984,-0.132446,-10.198975
249,700,0.458984,-0.189209,-10.182495
202,700,0.419312,-0.164185,-10.198364
237,700,0.520630,-0.146484,-10.210571
264,700,0.490112,-0.173340,-10.176392
248,700,0.445557,-0.184937,-10.184937
247,700,0.480957,-0.131836,-10.252686
310,700,0.415649,-0.192871,-10.258179
261,700,0.471802,-0.165405,-10.172119
300,700,0.436401,-0.144653,-10.182495
332,700,0.436401,-0.179443,-10.184326
309,700,0.321045,-0.172119,-10.202637
328,700,0.516357,-0.205078,-10.167236
308,700,0.517578,-0.178833,-10.223999
346,700,0.439453,-0.156250,-10.216675
380,700,0.460205,-0.180054,-10.216675
369,700,0.487671,-0.167847,-10.172729
393,700,0.457153,-0.171509,-10.159912
402,700,0.468750,-0.187988,-10.204468
398,700,0.449829,-0.160522,-10.184326
438,700,0.485840,-0.180054,-10.191650
431,700,0.479736,-0.182495,-10.223389
441,700,0.504761,-0.144043,-10.179443
491,700,0.452271,-0.170898,-10.179443
477,700,0.492554,-0.146484,-10.191040
513,700,0.458374,-0.177612,-10.206909
495,700,0.490112,-0.195312,-10.225220
490,700,0.501709,-0.167236,-10.214844
531,700,0.487061,-0.188599,-10.189819
523,700,0.441895,-0.146484,-10.201416
577,700,0.490112,-0.168457,-10.241089
568,700,0.447998,-0.147705,-10.194092
601,700,0.475464,-0.144653,-10.215454
616,700,0.463257,-0.183105,-10.223999
590,700,0.494995,-0.181885,-10.214844
604,700,0.477905,-0.135498,-10.194702
662,700,0.473633,-0.161743,-10.258789
648,700,0.440674,-0.178833,-10.214844
644,700,0.469360,-0.139160,-10.176392
695,700,0.478516,-0.117188,-10.205078
728,700,0.455322,-0.126343,-10.213623
730,700,0.485840,-0.144043,-10.235596
724,700,0.494995,-0.200806,-10.239258
680,700,0.445557,-0.150757,-10.162354
742,700,0.495605,-0.155029,-10.175781
750,700,0.457153,-0.128784,-10.190430
787,700,0.461426,-0.170898,-10.206299
757,700,0.509033,-0.159912,-10.209961
780,700,0.521240,-0.144653,-10.258789
807,700,0.496826,-0.124512,-10.218506
838,700,0.511475,-0.155029,-10.190430
819,700,0.516968,-0.125122,-10.236206
860,700,3.586426,0.973511,-11.368408
1000,700,-0.393677,0.018311,-10.247803
723,700,0.960083,-0.086670,-10.253906
625,700,0.686035,0.045776,-10.198364
761,700,1.279297,0.001831,-10.121460
721,700,0.599976,0.041504,-10.137329
764,700,0.839844,0.006714,-10.083618
733,700,0.523071,0.001221,-10.203857
731,700,0.283203,0.068359,-10.102539
799,700,0.487061,0.217285,-10.217896
945,700,0.595093,0.144653,-10.254517
870,700,0.490723,0.118408,-10.200806
841,700,0.525513,0.150146,-10.139160
869,700,0.436401,0.148926,-10.147095
864,700,0.504150,0.173340,-10.149536
883,700,0.505981,0.209961,-10.210571
